,max_depth,min_child_weight,subsample,gamma,train_accuracy,test_accuracy,diff_train_test,precision,recall,f1_score
3,3,5,0.7,5,0.97375,0.95,0.02375000000000005,0.9368932038834952,0.965,0.9507389162561576
93,4,10,1.0,1,0.981875,0.9575,0.024375000000000036,0.9420289855072463,0.975,0.9582309582309583
131,5,5,0.7,5,0.975625,0.95,0.02562500000000001,0.9326923076923077,0.97,0.9509803921568627
71,4,5,0.8,5,0.97375,0.9475,0.026249999999999996,0.9282296650717703,0.97,0.9486552567237164
6,3,5,0.8,2,0.984375,0.9575,0.026874999999999982,0.9420289855072463,0.975,0.9582309582309583
87,4,10,0.8,5,0.971875,0.945,0.026875000000000093,0.9278846153846154,0.965,0.946078431372549
151,5,10,0.8,5,0.971875,0.945,0.026875000000000093,0.9278846153846154,0.965,0.946078431372549
158,5,10,1.0,2,0.976875,0.95,0.026875000000000093,0.9368932038834952,0.965,0.9507389162561576
39,3,15,0.8,5,0.965,0.9375,0.02749999999999997,0.9310344827586207,0.945,0.9379652605459057
67,4,5,0.7,5,0.975,0.9475,0.02749999999999997,0.9323671497584541,0.965,0.9484029484029484
69,4,5,0.8,1,0.99,0.9625,0.02749999999999997,0.9512195121951219,0.975,0.9629629629629629
83,4,10,0.7,5,0.9725,0.945,0.02750000000000008,0.9362745098039216,0.955,0.9455445544554455
133,5,5,0.8,1,0.9925,0.965,0.02750000000000008,0.9603960396039604,0.97,0.9651741293532339
147,5,10,0.7,5,0.9725,0.945,0.02750000000000008,0.9362745098039216,0.955,0.9455445544554455
134,5,5,0.8,2,0.985625,0.9575,0.028124999999999956,0.937799043062201,0.98,0.9584352078239609
86,4,10,0.8,2,0.980625,0.9525,0.028124999999999956,0.9330143540669856,0.975,0.9535452322738386
10,3,5,0.9,2,0.983125,0.955,0.028125000000000067,0.941747572815534,0.97,0.9556650246305419
167,5,15,0.8,5,0.96375,0.935,0.028749999999999942,0.9223300970873787,0.95,0.9359605911330049
30,3,10,1.0,2,0.97625,0.9475,0.028749999999999942,0.9365853658536586,0.96,0.9481481481481482
103,4,15,0.8,5,0.96375,0.935,0.028749999999999942,0.9223300970873787,0.95,0.9359605911330049
7,3,5,0.8,5,0.97625,0.9475,0.028749999999999942,0.9282296650717703,0.97,0.9486552567237164
138,5,5,0.9,2,0.98375,0.955,0.028750000000000053,0.9375,0.975,0.9558823529411765
47,3,15,1.0,5,0.971875,0.9425,0.02937500000000004,0.9317073170731708,0.955,0.9432098765432099
159,5,10,1.0,5,0.974375,0.945,0.02937500000000004,0.9362745098039216,0.955,0.9455445544554455
74,4,5,0.9,2,0.981875,0.9525,0.02937500000000004,0.9330143540669856,0.975,0.9535452322738386
63,3,20,1.0,5,0.969375,0.94,0.02937500000000004,0.9313725490196079,0.95,0.9405940594059405
59,3,20,0.9,5,0.965,0.935,0.029999999999999916,0.9306930693069307,0.94,0.9353233830845771
19,3,10,0.7,5,0.97,0.94,0.030000000000000027,0.9313725490196079,0.95,0.9405940594059405
139,5,5,0.9,5,0.98,0.95,0.030000000000000027,0.9368932038834952,0.965,0.9507389162561576
141,5,5,1.0,1,0.985625,0.955,0.030625000000000013,0.9375,0.975,0.9558823529411765
110,4,15,1.0,2,0.973125,0.9425,0.030625000000000013,0.9359605911330049,0.95,0.9429280397022333
18,3,10,0.7,2,0.978125,0.9475,0.030625000000000013,0.9365853658536586,0.96,0.9481481481481482
137,5,5,0.9,1,0.990625,0.96,0.030625000000000013,0.9466019417475728,0.975,0.9605911330049262
94,4,10,1.0,2,0.97625,0.945,0.03125,0.9320388349514563,0.96,0.9458128078817734
154,5,10,0.9,2,0.97625,0.945,0.03125,0.9278846153846154,0.965,0.946078431372549
135,5,5,0.8,5,0.97375,0.9425,0.03125,0.9317073170731708,0.955,0.9432098765432099
38,3,15,0.8,2,0.971875,0.94,0.0318750000000001,0.9313725490196079,0.95,0.9405940594059405
163,5,15,0.7,5,0.9625,0.93,0.03249999999999997,0.9174757281553398,0.945,0.9310344827586207
190,5,20,1.0,2,0.97,0.9375,0.03249999999999997,0.926829268292683,0.95,0.9382716049382716
99,4,15,0.7,5,0.9625,0.93,0.03249999999999997,0.9174757281553398,0.945,0.9310344827586207
35,3,15,0.7,5,0.96,0.9275,0.03249999999999997,0.9130434782608695,0.945,0.9287469287469288
11,3,5,0.9,5,0.9775,0.945,0.032500000000000084,0.9320388349514563,0.96,0.9458128078817734
26,3,10,0.9,2,0.9775,0.945,0.032500000000000084,0.9362745098039216,0.955,0.9455445544554455
107,4,15,0.9,5,0.9725,0.94,0.032500000000000084,0.9230769230769231,0.96,0.9411764705882353
171,5,15,0.9,5,0.9725,0.94,0.032500000000000084,0.9230769230769231,0.96,0.9411764705882353
187,5,20,0.9,5,0.963125,0.93,0.03312499999999996,0.9174757281553398,0.945,0.9310344827586207
130,5,5,0.7,2,0.985625,0.9525,0.03312499999999996,0.9458128078817734,0.96,0.9528535980148883
166,5,15,0.8,2,0.970625,0.9375,0.03312499999999996,0.9227053140096618,0.955,0.9385749385749386
61,3,20,1.0,1,0.970625,0.9375,0.03312499999999996,0.926829268292683,0.95,0.9382716049382716
123,4,20,0.9,5,0.963125,0.93,0.03312499999999996,0.9174757281553398,0.945,0.9310344827586207
102,4,15,0.8,2,0.970625,0.9375,0.03312499999999996,0.9227053140096618,0.955,0.9385749385749386
5,3,5,0.8,1,0.990625,0.9575,0.03312499999999996,0.9507389162561576,0.965,0.9578163771712159
95,4,10,1.0,5,0.973125,0.94,0.03312500000000007,0.9271844660194175,0.955,0.9408866995073891
9,3,5,0.9,1,0.988125,0.955,0.03312500000000007,0.946078431372549,0.965,0.9554455445544554
27,3,10,0.9,5,0.973125,0.94,0.03312500000000007,0.9271844660194175,0.955,0.9408866995073891
43,3,15,0.9,5,0.96875,0.935,0.03374999999999995,0.9264705882352942,0.945,0.9356435643564357
146,5,10,0.7,2,0.97625,0.9425,0.03374999999999995,0.9359605911330049,0.95,0.9429280397022333
126,4,20,1.0,2,0.96625,0.9325,0.03375000000000006,0.9219512195121952,0.945,0.9333333333333333
13,3,5,1.0,1,0.98375,0.95,0.03375000000000006,0.9368932038834952,0.965,0.9507389162561576
22,3,10,0.8,2,0.97875,0.945,0.03375000000000006,0.9278846153846154,0.965,0.946078431372549
31,3,10,1.0,5,0.97375,0.94,0.03375000000000006,0.9271844660194175,0.955,0.9408866995073891
91,4,10,0.9,5,0.97375,0.94,0.03375000000000006,0.9271844660194175,0.955,0.9408866995073891
79,4,5,1.0,5,0.981875,0.9475,0.034375000000000044,0.9323671497584541,0.965,0.9484029484029484
111,4,15,1.0,5,0.971875,0.9375,0.034375000000000044,0.9310344827586207,0.945,0.9379652605459057
42,3,15,0.9,2,0.974375,0.94,0.034375000000000044,0.9313725490196079,0.95,0.9405940594059405
191,5,20,1.0,5,0.966875,0.9325,0.034375000000000044,0.9219512195121952,0.945,0.9333333333333333
175,5,15,1.0,5,0.971875,0.9375,0.034375000000000044,0.9310344827586207,0.945,0.9379652605459057
127,4,20,1.0,5,0.966875,0.9325,0.034375000000000044,0.9219512195121952,0.945,0.9333333333333333
170,5,15,0.9,2,0.975,0.94,0.03500000000000003,0.9313725490196079,0.95,0.9405940594059405
143,5,5,1.0,5,0.9775,0.9425,0.03500000000000003,0.927536231884058,0.96,0.9434889434889435
142,5,5,1.0,2,0.985,0.95,0.03500000000000003,0.9326923076923077,0.97,0.9509803921568627
150,5,10,0.8,2,0.98,0.945,0.03500000000000003,0.9320388349514563,0.96,0.9458128078817734
106,4,15,0.9,2,0.975,0.94,0.03500000000000003,0.9313725490196079,0.95,0.9405940594059405
29,3,10,1.0,1,0.98,0.945,0.03500000000000003,0.9362745098039216,0.955,0.9455445544554455
14,3,5,1.0,2,0.985,0.95,0.03500000000000003,0.9368932038834952,0.965,0.9507389162561576
2,3,5,0.7,2,0.983125,0.9475,0.03562500000000002,0.9408866995073891,0.955,0.9478908188585607
155,5,10,0.9,5,0.973125,0.9375,0.03562500000000002,0.9227053140096618,0.955,0.9385749385749386
73,4,5,0.9,1,0.990625,0.955,0.03562500000000002,0.946078431372549,0.965,0.9554455445544554
23,3,10,0.8,5,0.973125,0.9375,0.03562500000000002,0.926829268292683,0.95,0.9382716049382716
189,5,20,1.0,1,0.96875,0.9325,0.036250000000000004,0.9219512195121952,0.945,0.9333333333333333
70,4,5,0.8,2,0.98625,0.95,0.036250000000000004,0.9368932038834952,0.965,0.9507389162561576
157,5,10,1.0,1,0.97875,0.9425,0.036250000000000004,0.9317073170731708,0.955,0.9432098765432099
173,5,15,1.0,1,0.97625,0.94,0.036250000000000004,0.9356435643564357,0.945,0.9402985074626866
82,4,10,0.7,2,0.97625,0.94,0.036250000000000004,0.9356435643564357,0.945,0.9402985074626866
76,4,5,1.0,0,0.999375,0.9625,0.03687499999999999,0.964824120603015,0.96,0.9624060150375939
62,3,20,1.0,2,0.966875,0.93,0.03687499999999999,0.9134615384615384,0.95,0.9313725490196079
12,3,5,1.0,0,0.999375,0.9625,0.03687499999999999,0.9601990049751243,0.965,0.9625935162094763
182,5,20,0.8,2,0.965,0.9275,0.03749999999999998,0.9211822660098522,0.935,0.9280397022332506
118,4,20,0.8,2,0.965,0.9275,0.03749999999999998,0.9211822660098522,0.935,0.9280397022332506
66,4,5,0.7,2,0.985,0.9475,0.03749999999999998,0.9323671497584541,0.965,0.9484029484029484
1,3,5,0.7,1,0.99,0.9525,0.03749999999999998,0.9458128078817734,0.96,0.9528535980148883
75,4,5,0.9,5,0.9775,0.94,0.03750000000000009,0.9271844660194175,0.955,0.9408866995073891
15,3,5,1.0,5,0.9775,0.94,0.03750000000000009,0.9313725490196079,0.95,0.9405940594059405
58,3,20,0.9,2,0.968125,0.93,0.038124999999999964,0.9215686274509803,0.94,0.9306930693069307
119,4,20,0.8,5,0.963125,0.925,0.038124999999999964,0.912621359223301,0.94,0.9261083743842364
183,5,20,0.8,5,0.963125,0.925,0.038124999999999964,0.912621359223301,0.94,0.9261083743842364
77,4,5,1.0,1,0.985625,0.9475,0.038124999999999964,0.9323671497584541,0.965,0.9484029484029484
65,4,5,0.7,1,0.990625,0.9525,0.038124999999999964,0.9458128078817734,0.96,0.9528535980148883
55,3,20,0.8,5,0.963125,0.925,0.038124999999999964,0.912621359223301,0.94,0.9261083743842364
0,3,5,0.7,0,0.998125,0.96,0.038125000000000075,0.9509803921568627,0.97,0.9603960396039604
4,3,5,0.8,0,0.998125,0.96,0.038125000000000075,0.9509803921568627,0.97,0.9603960396039604
125,4,20,1.0,1,0.97125,0.9325,0.03874999999999995,0.9219512195121952,0.945,0.9333333333333333
105,4,15,0.9,1,0.97875,0.94,0.03875000000000006,0.9271844660194175,0.955,0.9408866995073891
109,4,15,1.0,1,0.97875,0.94,0.03875000000000006,0.9313725490196079,0.95,0.9405940594059405
129,5,5,0.7,1,0.99375,0.955,0.03875000000000006,0.9504950495049505,0.96,0.9552238805970149
90,4,10,0.9,2,0.97875,0.94,0.03875000000000006,0.9271844660194175,0.955,0.9408866995073891
152,5,10,0.9,0,0.986875,0.9475,0.03937499999999994,0.9323671497584541,0.965,0.9484029484029484
140,5,5,1.0,0,0.999375,0.96,0.03937500000000005,0.9554455445544554,0.965,0.9601990049751243
78,4,5,1.0,2,0.985,0.945,0.040000000000000036,0.9320388349514563,0.96,0.9458128078817734
46,3,15,1.0,2,0.9725,0.9325,0.040000000000000036,0.9219512195121952,0.945,0.9333333333333333
128,5,5,0.7,0,0.9975,0.9575,0.040000000000000036,0.9463414634146341,0.97,0.9580246913580247
49,3,20,0.7,1,0.965625,0.925,0.04062499999999991,0.912621359223301,0.94,0.9261083743842364
117,4,20,0.8,1,0.968125,0.9275,0.04062500000000002,0.9211822660098522,0.935,0.9280397022332506
100,4,15,0.8,0,0.978125,0.9375,0.04062500000000002,0.9353233830845771,0.94,0.9376558603491272
181,5,20,0.8,1,0.968125,0.9275,0.04062500000000002,0.9211822660098522,0.935,0.9280397022332506
37,3,15,0.8,1,0.97625,0.935,0.0412499999999999,0.9264705882352942,0.945,0.9356435643564357
88,4,10,0.9,0,0.98875,0.9475,0.04125000000000001,0.9408866995073891,0.955,0.9478908188585607
172,5,15,1.0,0,0.98125,0.94,0.04125000000000001,0.9230769230769231,0.96,0.9411764705882353
53,3,20,0.8,1,0.966875,0.925,0.041874999999999996,0.9166666666666666,0.935,0.9257425742574258
185,5,20,0.9,1,0.969375,0.9275,0.041874999999999996,0.9211822660098522,0.935,0.9280397022332506
177,5,20,0.7,1,0.964375,0.9225,0.041874999999999996,0.9121951219512195,0.935,0.9234567901234568
116,4,20,0.8,0,0.966875,0.925,0.041874999999999996,0.9166666666666666,0.935,0.9257425742574258
121,4,20,0.9,1,0.969375,0.9275,0.041874999999999996,0.9211822660098522,0.935,0.9280397022332506
113,4,20,0.7,1,0.964375,0.9225,0.041874999999999996,0.9121951219512195,0.935,0.9234567901234568
56,3,20,0.9,0,0.971875,0.93,0.041874999999999996,0.9257425742574258,0.935,0.9303482587064676
50,3,20,0.7,2,0.961875,0.92,0.041874999999999996,0.9038461538461539,0.94,0.9215686274509803
180,5,20,0.8,0,0.966875,0.925,0.041874999999999996,0.9166666666666666,0.935,0.9257425742574258
101,4,15,0.8,1,0.976875,0.935,0.041874999999999996,0.9264705882352942,0.945,0.9356435643564357
51,3,20,0.7,5,0.96,0.9175,0.04249999999999998,0.9033816425120773,0.935,0.918918918918919
45,3,15,1.0,1,0.975,0.9325,0.04249999999999998,0.9261083743842364,0.94,0.9330024813895782
178,5,20,0.7,2,0.965,0.9225,0.04249999999999998,0.9121951219512195,0.935,0.9234567901234568
186,5,20,0.9,2,0.9675,0.925,0.04249999999999998,0.912621359223301,0.94,0.9261083743842364
114,4,20,0.7,2,0.965,0.9225,0.04249999999999998,0.9121951219512195,0.935,0.9234567901234568
41,3,15,0.9,1,0.9775,0.935,0.04249999999999998,0.9264705882352942,0.945,0.9356435643564357
122,4,20,0.9,2,0.9675,0.925,0.04249999999999998,0.912621359223301,0.94,0.9261083743842364
25,3,10,0.9,1,0.9825,0.94,0.04250000000000009,0.9313725490196079,0.95,0.9405940594059405
153,5,10,0.9,1,0.9825,0.94,0.04250000000000009,0.9313725490196079,0.95,0.9405940594059405
169,5,15,0.9,1,0.978125,0.935,0.04312499999999997,0.9182692307692307,0.955,0.9362745098039216
54,3,20,0.8,2,0.965625,0.9225,0.04312499999999997,0.916256157635468,0.93,0.9230769230769231
36,3,15,0.8,0,0.978125,0.935,0.04312499999999997,0.9264705882352942,0.945,0.9356435643564357
28,3,10,1.0,0,0.988125,0.945,0.04312500000000008,0.9362745098039216,0.955,0.9455445544554455
81,4,10,0.7,1,0.983125,0.94,0.04312500000000008,0.9313725490196079,0.95,0.9405940594059405
165,5,15,0.8,1,0.97625,0.9325,0.043749999999999956,0.9261083743842364,0.94,0.9330024813895782
89,4,10,0.9,1,0.98125,0.9375,0.043749999999999956,0.9310344827586207,0.945,0.9379652605459057
132,5,5,0.8,0,0.99875,0.955,0.04375000000000007,0.941747572815534,0.97,0.9556650246305419
52,3,20,0.8,0,0.969375,0.925,0.04437499999999994,0.9086538461538461,0.945,0.9264705882352942
162,5,15,0.7,2,0.966875,0.9225,0.04437500000000005,0.9082125603864735,0.94,0.9238329238329238
72,4,5,0.9,0,0.999375,0.955,0.04437500000000005,0.946078431372549,0.965,0.9554455445544554
98,4,15,0.7,2,0.966875,0.9225,0.04437500000000005,0.9082125603864735,0.94,0.9238329238329238
188,5,20,1.0,0,0.975,0.93,0.04499999999999993,0.9174757281553398,0.945,0.9310344827586207
34,3,15,0.7,2,0.97,0.925,0.04499999999999993,0.912621359223301,0.94,0.9261083743842364
179,5,20,0.7,5,0.9625,0.9175,0.04500000000000004,0.9033816425120773,0.935,0.918918918918919
92,4,10,1.0,0,0.99,0.945,0.04500000000000004,0.9362745098039216,0.955,0.9455445544554455
115,4,20,0.7,5,0.9625,0.9175,0.04500000000000004,0.9033816425120773,0.935,0.918918918918919
20,3,10,0.8,0,0.985,0.94,0.04500000000000004,0.9313725490196079,0.95,0.9405940594059405
144,5,10,0.7,0,0.9875,0.9425,0.04500000000000004,0.9402985074626866,0.945,0.942643391521197
57,3,20,0.9,1,0.965625,0.92,0.045624999999999916,0.9077669902912622,0.935,0.9211822660098522
48,3,20,0.7,0,0.965625,0.92,0.045624999999999916,0.9117647058823529,0.93,0.9207920792079208
148,5,10,0.8,0,0.988125,0.9425,0.04562500000000003,0.9359605911330049,0.95,0.9429280397022333
80,4,10,0.7,0,0.985625,0.94,0.04562500000000003,0.9313725490196079,0.95,0.9405940594059405
44,3,15,1.0,0,0.98125,0.935,0.0462499999999999,0.9264705882352942,0.945,0.9356435643564357
16,3,10,0.7,0,0.98375,0.9375,0.04625000000000001,0.9310344827586207,0.945,0.9379652605459057
68,4,5,0.8,0,0.99875,0.9525,0.04625000000000001,0.9414634146341463,0.965,0.9530864197530864
8,3,5,0.9,0,0.99875,0.9525,0.04625000000000001,0.9458128078817734,0.96,0.9528535980148883
124,4,20,1.0,0,0.976875,0.93,0.046875,0.9174757281553398,0.945,0.9310344827586207
164,5,15,0.8,0,0.979375,0.9325,0.046875,0.9261083743842364,0.94,0.9330024813895782
156,5,10,1.0,0,0.989375,0.9425,0.046875,0.9359605911330049,0.95,0.9429280397022333
149,5,10,0.8,1,0.9825,0.935,0.04749999999999999,0.9223300970873787,0.95,0.9359605911330049
174,5,15,1.0,2,0.9775,0.93,0.04749999999999999,0.9174757281553398,0.945,0.9310344827586207
145,5,10,0.7,1,0.985,0.9375,0.04749999999999999,0.9227053140096618,0.955,0.9385749385749386
85,4,10,0.8,1,0.9825,0.935,0.04749999999999999,0.9223300970873787,0.95,0.9359605911330049
64,4,5,0.7,0,0.998125,0.95,0.048125000000000084,0.9368932038834952,0.965,0.9507389162561576
24,3,10,0.9,0,0.98875,0.94,0.04875000000000007,0.9313725490196079,0.95,0.9405940594059405
84,4,10,0.8,0,0.986875,0.9375,0.04937499999999995,0.9310344827586207,0.945,0.9379652605459057
21,3,10,0.8,1,0.984375,0.935,0.04937499999999995,0.9223300970873787,0.95,0.9359605911330049
120,4,20,0.9,0,0.971875,0.9225,0.04937500000000006,0.9121951219512195,0.935,0.9234567901234568
136,5,5,0.9,0,0.999375,0.95,0.04937500000000006,0.9411764705882353,0.96,0.9504950495049505
184,5,20,0.9,0,0.971875,0.9225,0.04937500000000006,0.9121951219512195,0.935,0.9234567901234568
96,4,15,0.7,0,0.9725,0.9225,0.050000000000000044,0.9121951219512195,0.935,0.9234567901234568
112,4,20,0.7,0,0.96625,0.915,0.05125000000000002,0.9068627450980392,0.925,0.9158415841584159
176,5,20,0.7,0,0.96625,0.915,0.05125000000000002,0.9068627450980392,0.925,0.9158415841584159
17,3,10,0.7,1,0.984375,0.9325,0.051875000000000004,0.9261083743842364,0.94,0.9330024813895782
33,3,15,0.7,1,0.971875,0.92,0.051875000000000004,0.9077669902912622,0.935,0.9211822660098522
97,4,15,0.7,1,0.9725,0.92,0.05249999999999999,0.9077669902912622,0.935,0.9211822660098522
161,5,15,0.7,1,0.9725,0.92,0.05249999999999999,0.9077669902912622,0.935,0.9211822660098522
32,3,15,0.7,0,0.975625,0.9225,0.05312499999999998,0.916256157635468,0.93,0.9230769230769231
104,4,15,0.9,0,0.980625,0.9275,0.05312499999999998,0.9211822660098522,0.935,0.9280397022332506
108,4,15,1.0,0,0.980625,0.9275,0.05312499999999998,0.9130434782608695,0.945,0.9287469287469288
160,5,15,0.7,0,0.97375,0.92,0.053749999999999964,0.9117647058823529,0.93,0.9207920792079208
60,3,20,1.0,0,0.975,0.92,0.05499999999999994,0.9077669902912622,0.935,0.9211822660098522
40,3,15,0.9,0,0.97875,0.9225,0.05625000000000002,0.9121951219512195,0.935,0.9234567901234568
168,5,15,0.9,0,0.98,0.9225,0.057499999999999996,0.9121951219512195,0.935,0.9234567901234568
